Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,month,quarter,year,target,qib_to_rii_ratio,hni_to_rii_ratio,institutional_dominance,log_issue_size,log_qib,log_hni,log_rii,price_bucket,nifty_5d_return
2024-09-12,Shree Tirupati Balajee Agro Trading Company Limited,169.65,150.87,210.12,73.22,124.75,83,92.9,11.93,50.37,50.03,-39.31,9,3,2024,1,2.060221220811143,2.869315854158132,1.2092818210965053,5.139614675352716,5.023024891742178,5.352426692195069,4.307033655632451,cheap,-0.9013700249590444
2024-09-09,Gala Precision Engineering Limited,167.93,232.54,414.62,91.95,201.41,529,750.0,41.78,814.55,816.9,53.98,9,3,2024,1,2.528708133971292,4.508699434536755,1.1545030284976665,5.129484427934637,5.453353368647568,6.029771381262568,4.532061714167453,premium,-1.6873844038961283
2024-09-06,Baazar Style Retail Limited,834.68,81.83,59.43,9.12,40.66,389,389.0,0.0,315.2,313.7,-18.97,9,3,2024,0,8.96276013143483,6.509309967141293,2.0120481927710845,6.728245764687989,4.416790314610172,4.101485670373467,2.31451366385932,expensive,-0.3598079713602451
2024-09-04,Ecos (India) Mobility & Hospitality Limited,601.2,136.85,71.23,19.79,64.26,334,391.3,17.16,293.25,298.15,-12.2,9,3,2024,1,6.911616161616161,3.5974747474747475,2.129298272911156,6.400589616047633,4.926166137469806,4.279855472062756,3.034472101869921,expensive,0.908098456022128
2024-09-03,Premier Energies Limited,2830.4,216.67,50.04,7.69,74.38,450,991.0,120.22,1015.45,1012.7,125.66,9,3,2024,1,28.138961038961035,6.498701298701299,2.912622664336604,7.948526567960397,5.382980154426746,3.932609639036535,2.162172939277301,expensive,1.0430563050234334
2024-08-28,Orient Technologies Limited,214.76,189.9,300.6,66.87,151.71,206,290.0,40.78,319.05,317.4,54.88,8,3,2024,1,2.839413875598086,4.494617224880383,1.2516477722119694,5.374166678831474,5.251749730731702,5.709101636133801,4.217594110715667,mid,0.9993895449279006
2024-08-26,Interarch Building Products Limited,600.29,205.41,128.42,19.11,93.53,900,1291.2,43.47,2217.0,2183.0,146.33,8,3,2024,1,10.743200836820083,6.716527196652718,2.195958948043617,6.3990773472736056,5.329864482046166,4.86306292962912,3.001217203784561,premium,1.0194260530218229
2024-08-20,Saraswati Saree Depot Limited,160.01,64.12,358.65,61.88,107.52,160,200.0,25.0,91.81,91.26,-42.62,8,3,2024,1,1.0360316690903215,5.794958797867183,0.5962987073374872,5.081466474856847,4.176231721694285,5.885131336313365,4.141228148120951,mid,0.9268098354006654
2024-08-13,Brainbees Solutions Limited,4193.73,19.3,4.68,2.31,12.22,465,625.0,34.41,373.65,373.85,-19.65,8,3,2024,1,8.31896551724138,2.0172413793103448,1.5780866721177431,8.341584254493847,3.0106208860477417,1.7369512327330598,1.1969481893889715,expensive,1.477330284644013
2024-08-13,Unicommerce eSolutions Limited,276.57,138.75,252.48,131.15,168.39,108,230.0,112.96,124.35,123.1,15.14,8,3,2024,1,1.057868252516011,1.9249771271729184,0.8239311163895489,5.626073153628491,4.939855112035208,5.535284924455317,4.883937641050299,cheap,1.477330284644013
2024-08-09,Ola Electric Mobility Limited,6145.56,5.31,2.4,3.92,4.27,76,75.99,-0.01,39.99,39.9,-47.38,8,3,2024,0,1.3511450381679388,0.6106870229007634,1.2406542056074767,8.723647854712725,1.8421356765531216,1.2237754316221157,1.5933085305042167,cheap,-2.4302392121283285
2024-08-08,Ceigall India Limited,1252.66,31.5,14.42,3.77,13.78,401,413.0,2.99,247.25,247.52,-38.34,8,3,2024,1,8.333333333333334,3.814814814814815,2.284263959390863,7.133822552053442,3.481240089335692,2.7356653681351832,1.5623463049002495,expensive,-2.8523578898919157
2024-08-06,Akums Drugs and Pharmaceuticals Limited,1856.74,90.09,42.21,21.3,63.56,679,725.0,6.77,473.0,474.3,-30.34,8,3,2024,1,4.227592679493196,1.9807602064758327,1.4171779141104297,7.5271159741674865,4.511848028756718,3.766071949943842,3.104586678466073,premium,-3.2252141088453485
2024-07-26,Sanstar Limited,510.55,145.68,136.5,24.23,82.99,95,106.4,12.0,85.87,85.39,-9.61,7,3,2024,1,6.00990099009901,5.631188118811881,1.7551807228915663,6.237445332324949,4.988253343203126,4.923623917106626,3.2280337626529665,cheap,-0.5087492887040349
